vertical,city_slug,state_code,provider_dataset_path,listing_json_path,runtime_ready,notes
uscis-medical,albuquerque-nm,NM,data/example_providers/uscis_medical/albuquerque-nm.json,data/listings/albuquerque-nm.json,true,Wave 3 state-complete shared matrix (metro approved)
uscis-medical,las-vegas-nv,NV,data/example_providers/uscis_medical/las-vegas-nv.json,data/listings/las-vegas-nv.json,true,Metro-area provider matching approved
uscis-medical,new-york-city-ny,NY,data/example_providers/uscis_medical/new-york-city-ny.json,data/listings/new-york-city-ny.json,true,Metro-area provider matching approved
uscis-medical,columbus-oh,OH,data/example_providers/uscis_medical/columbus-oh.json,data/listings/columbus-oh.json,true,Wave 3 state-complete shared matrix (metro approved)
uscis-medical,oklahoma-city-ok,OK,data/example_providers/uscis_medical/oklahoma-city-ok.json,data/listings/oklahoma-city-ok.json,true,Wave 3 state-complete shared matrix (metro approved)
uscis-medical,portland-or,OR,data/example_providers/uscis_medical/portland-or.json,data/listings/portland-or.json,true,Wave 3 state-complete shared matrix (metro approved)
uscis-medical,philadelphia-pa,PA,data/example_providers/uscis_medical/philadelphia-pa.json,data/listings/philadelphia-pa.json,true,Metro-area provider matching approved
uscis-medical,providence-ri,RI,data/example_providers/uscis_medical/providence-ri.json,data/listings/providence-ri.json,true,Wave 3 state-complete shared matrix (metro approved)
uscis-medical,columbia-sc,SC,data/example_providers/uscis_medical/columbia-sc.json,data/listings/columbia-sc.json,true,Wave 3 state-complete shared matrix (metro approved)
uscis-medical,sioux-falls-sd,SD,data/example_providers/uscis_medical/sioux-falls-sd.json,data/listings/sioux-falls-sd.json,true,Wave 3 state-complete shared matrix (metro approved)
uscis-medical,memphis-tn,TN,data/example_providers/uscis_medical/memphis-tn.json,data/listings/memphis-tn.json,true,Wave 3 state-complete shared matrix (metro approved)
uscis-medical,dallas-tx,TX,data/example_providers/uscis_medical/dallas-tx.json,data/listings/dallas-tx.json,true,Metro-area provider matching approved
uscis-medical,houston-tx,TX,data/example_providers/uscis_medical/houston-tx.json,data/listings/houston-tx.json,true,Metro-area provider matching approved
uscis-medical,salt-lake-city-ut,UT,data/example_providers/uscis_medical/salt-lake-city-ut.json,data/listings/salt-lake-city-ut.json,true,Wave 3 state-complete shared matrix (metro approved)
uscis-medical,richmond-va,VA,data/example_providers/uscis_medical/richmond-va.json,data/listings/richmond-va.json,true,Wave 3 state-complete shared matrix (metro approved)
uscis-medical,burlington-vt,VT,data/example_providers/uscis_medical/burlington-vt.json,data/listings/burlington-vt.json,true,Wave 3 state-complete shared matrix (metro approved)
uscis-medical,seattle-wa,WA,data/example_providers/uscis_medical/seattle-wa.json,data/listings/seattle-wa.json,true,Metro-area provider matching approved
uscis-medical,milwaukee-wi,WI,data/example_providers/uscis_medical/milwaukee-wi.json,data/listings/milwaukee-wi.json,true,Wave 3 state-complete shared matrix (metro approved)
uscis-medical,charleston-wv,WV,data/example_providers/uscis_medical/charleston-wv.json,data/listings/charleston-wv.json,true,Wave 3 state-complete shared matrix (metro approved)
uscis-medical,cheyenne-wy,WY,data/example_providers/uscis_medical/cheyenne-wy.json,data/listings/cheyenne-wy.json,true,Wave 3 state-complete shared matrix (metro approved)
trt,anchorage-ak,AK,data/example_providers/trt/anchorage-ak__trt.json,data/listings/anchorage-ak.json,true,Wave 3 state-complete grouped TRT provider sets
trt,birmingham-al,AL,data/example_providers/trt/birmingham-al__trt.json,data/listings/birmingham-al.json,true,Wave 3 state-complete grouped TRT provider sets
trt,little-rock-ar,AR,data/example_providers/trt/little-rock-ar__trt.json,data/listings/little-rock-ar.json,true,Wave 3 state-complete grouped TRT provider sets
trt,phoenix-az,AZ,data/example_providers/trt/phoenix-az__trt.json,data/listings/phoenix-az.json,true,Wave 2 grouped TRT provider sets (metro/state verified standard 1)
trt,los-angeles-ca,CA,data/example_providers/trt/los-angeles-ca__trt.json,data/listings/los-angeles-ca.json,true,Wave 2 grouped TRT provider sets (metro/state verified standard 1)
trt,sacramento-ca,CA,data/example_providers/trt/sacramento-ca__trt.json,data/listings/sacramento-ca.json,true,Wave 2 grouped TRT provider sets (metro/state verified standard 1)
trt,san-diego-ca,CA,data/example_providers/trt/san-diego-ca__trt.json,data/listings/san-diego-ca.json,true,Wave 2 grouped TRT provider sets (metro/state verified standard 1)
trt,san-francisco-ca,CA,data/example_providers/trt/san-francisco-ca__trt.json,data/listings/san-francisco-ca.json,true,Wave 2 grouped TRT provider sets (metro/state verified standard 1)
trt,denver-co,CO,data/example_providers/trt/denver-co__trt.json,data/listings/denver-co.json,true,Wave 2 grouped TRT provider sets (metro/state verified standard 1)
trt,hartford-ct,CT,data/example_providers/trt/hartford-ct__trt.json,data/listings/hartford-ct.json,true,Wave 3 state-complete grouped TRT provider sets
trt,wilmington-de,DE,data/example_providers/trt/wilmington-de__trt.json,data/listings/wilmington-de.json,true,Wave 3 state-complete grouped TRT provider sets
trt,miami-fl,FL,data/example_providers/trt/miami-fl__trt.json,data/listings/miami-fl.json,true,Wave 2 grouped TRT provider sets (metro/state verified standard 1)
trt,orlando-fl,FL,data/example_providers/trt/orlando-fl__trt.json,data/listings/orlando-fl.json,true,Wave 2 grouped TRT provider sets (metro/state verified standard 1)
trt,tampa-fl,FL,data/example_providers/trt/tampa-fl__trt.json,data/listings/tampa-fl.json,true,Wave 2 grouped TRT provider sets (metro/state verified standard 1)
trt,atlanta-ga,GA,data/example_providers/trt/atlanta-ga__trt.json,data/listings/atlanta-ga.json,true,Wave 2 grouped TRT provider sets (metro/state verified standard 1)
trt,honolulu-hi,HI,data/example_providers/trt/honolulu-hi__trt.json,data/listings/honolulu-hi.json,true,Wave 3 state-complete grouped TRT provider sets
trt,des-moines-ia,IA,data/example_providers/trt/des-moines-ia__trt.json,data/listings/des-moines-ia.json,true,Wave 3 state-complete grouped TRT provider sets
trt,boise-id,ID,data/example_providers/trt/boise-id__trt.json,data/listings/boise-id.json,true,Wave 3 state-complete grouped TRT provider sets
trt,chicago-il,IL,data/example_providers/trt/chicago-il__trt.json,data/listings/chicago-il.json,true,Wave 2 grouped TRT provider sets (metro/state verified standard 1)
trt,indianapolis-in,IN,data/example_providers/trt/indianapolis-in__trt.json,data/listings/indianapolis-in.json,true,Wave 3 state-complete grouped TRT provider sets
trt,kansas-city-ks,KS,data/example_providers/trt/kansas-city-ks__trt.json,data/listings/kansas-city-ks.json,true,Wave 3 state-complete grouped TRT provider sets
trt,louisville-ky,KY,data/example_providers/trt/louisville-ky__trt.json,data/listings/louisville-ky.json,true,Wave 3 state-complete grouped TRT provider sets
trt,new-orleans-la,LA,data/example_providers/trt/new-orleans-la__trt.json,data/listings/new-orleans-la.json,true,Wave 3 state-complete grouped TRT provider sets
trt,boston-ma,MA,data/example_providers/trt/boston-ma__trt.json,data/listings/boston-ma.json,true,Wave 2 grouped TRT provider sets (metro/state verified standard 1)
trt,baltimore-md,MD,data/example_providers/trt/baltimore-md__trt.json,data/listings/baltimore-md.json,true,Wave 3 state-complete grouped TRT provider sets
